brewerySlug,name,longName,description,breweryAddress,breweryZip,locationDescription,latitude12,longitude12,latitude,longitude,URL,phone,image,mapImage,pageImage
zipline,Zipline,Zipline Brewing Co,"Zipline Brewing Co. crafts artisan ales and lagers with high quality precision in Lincoln, Nebraska. Born from the founders’ innate sense of adventure and their desire to connect with the thrill-seeking spirit in all craft beer fans.","2100 Magnum Cir #1, Lincoln, NE",68522,"Heart of Lincoln, NE",40.81144102,-96.55116007,40.81194102,-96.75116007,https://ziplinebrewing.com/,14024751001,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fziplineimage.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2F_resized%2Fziplinemapimage_100x100.png?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fziplinepageimage.jpg?alt=media
empyrean,Empyrean,Empyrean Brewing Co.,"Empyrean Brewing Co. began in 1991 with a dream that they could hand-craft full-flavored beer. The dream became Nebraska’s first microbrewery, Empyrean Brewing Co.","730 Q St, Lincoln, NE",68508,"Downtown Lincoln, Nebraska",40.51449291,-96.7108065,40.81492906,-96.7108065,https://empyreanbrewingco.com/,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fempyreanimage.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2F_resized%2Fempyreanmapimage_100x100.png?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fempyreanpageimage.jpg?alt=media
lazyhorse,Lazy Horse,Lazy Horse Vineyard and Brewing,"Nested in the Nebraska Heartland, come enjoy its rural beauty and unique selection of beers.","211 Rd 20, Ohiowa, NE ",68416,"Ohiowa, Nebraska",40.37336656,-97.46136964,40.37336656,-97.46136964,http://www.lazyhorsevineyard.com/,14022952550,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Flazyhorseimage.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2F_resized%2Flazyhorsemapimage_100x100.png?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Flazyhorsepageimage.PNG?alt=media
kinkaider,Kinkaider,Kinkaider Brewing Co.,"We are a Farm Craft Brewery with locations is Lincoln, Grand Island, and Broken Bow. Stop by our 3 locations and enjoy our award-winning beers!","43860 Paulsen Rd, Broken Bow, NE",68822,Broken Bow,41.42385812,-99.16085705,41.42345812,-99.66085705,https://www.kinkaider.com/,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fkinkaiderimage.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2F_resized%2Fkinkaidermapimage_100x100.png?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fkinkaiderpageimage.jpg?alt=media
infusion,Infusion,Infusion Brewing Co.,"Infusion Brewery now occupies the former home of Olson’s Meat Market in Downtown Benson. When the building became available, Bill Baburek, owner of Omaha’s Crescent Moon, decided to turn his dream of opening a craft brewery into reality.","6115 Maple St, Omaha, NE ",68104,Historic Benson Neighborhood of Omaha,41.2858379,-96.00801658,41.2854379,-96.00801658,http://infusionbrewing.com/,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Finfusionimage.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2F_resized%2Finfusionmapimage_100x100.png?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Finfusionpageimage.jpg?alt=media
krosstrain,Kros Strain,Kros Strain Brewing Co.,"Two dudes with a passion for brewing great beers, founders Bobby Kros and Scott Strain, started Kros Strain Brewing. Known to innovate, the pair will tinker with recipes, until it’s not just “good enough” – but until it’s freaking great.","10411 Portal Rd #102, La Vista, NE ",68128,"On Portal Road in La Vista, NE",41.17133633,-96.17564622,41.17193633,-96.07564622,https://krosstrainbrewing.com/,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fkrosstrainimage.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2F_resized%2Fkrosstrainmapimage_100x100.png?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fkrosstrainpageimage.jpg?alt=media
nebrew,Nebraska Brewing,Nebraska Brewing Co.,"With a foundation in homebrewing in 1992, Paul Kavulak set about to experiment within a hobby that would prove to change the landscape of Nebraska Craft Beer.","6950 S 108th St, La Vista, NE ",68128,"On 108th Street in La Vista, NE",41.18818859,-96.08182928,41.18888859,-96.08182928,http://www.nebraskabrewingco.com/,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fnebrewimage.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2F_resized%2Fnebrewmapimage_100x100.png?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fnebrewpageimage.jpg?alt=media
luckybucket,Lucky Bucket,Lucky Bucket Brewing Co.,"Hoppy libations, barrel aged ales, bold stouts, tart sour beers – you name it, ucky Bucket brews it!","11941 Centennial Rd, La Vista, NE",68128,"On Centennial Road in La Vista, NE",41.16991408,-96.09940134,41.16991408,-96.09940134,http://www.luckybucketbrewing.com/,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fluckybucketimage.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2F_resized%2Fluckybucketmapimage_100x100.png?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fluckybucketimage.jpg?alt=media
brickway,Brickway,Brickway Brewery & Distillery,"Since 2013, Brickway Brewery & Distillery has been brewing staple beers and whisky in the Historic Old Market District. ","1116 Jackson St, Omaha, NE ",68102,Omaha Historic Old Market District,41.25455115,-95.93138631,41.25455115,-95.93138631,https://www.drinkbrickway.com/,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fbrickwayimage.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2F_resized%2Fbrickwaymapimage_100x100.png?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fbrickwaypageimage.jpg?alt=media
backswing,Backswing,Backswing Brewing Co.,"For the true beer drinker and beer novice alike, Backswing Brewing offers a break from the pretentiousness of craft beer by meticulously crafting easy-drinking, true-to-style beer.","500 W South St #8, Lincoln, NE",68522,Southwest Lincoln by Sherman Field,40.79228875,-96.87398329,40.79228875,-96.72739833,http://www.backswingbrewing.com/,14024135576,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fbackswingimage.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2F_resized%2Fbackswingmapimage_100x100.png?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fbackswingpageimage.jpg?alt=media
code,Code,Code Brewing Co.,"Located in the Telegraph District in Lincoln, Nebraska, Code Beer is laid-back place to try great new brews. ","200 S Antelope Valley Pkwy, Lincoln, NE",68510,Telegraph District in downtown Lincoln. ,40.78123582,-96.89353672,40.81235818,-96.69353672,http://codebeer.co/,14023185888,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fcodeimage.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2F_resized%2Fcodemapimage_100x100.png?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fcodepageimage.jpg?alt=media
cosmiceye,Cosmic,Cosmic Eye Brewing,"Cosmic Eye is a family owned brewery and tap room located at 6800 P ST Lincoln, NE.","6800 P St #300, Lincoln, NE",68505,Near Gateway Mall,40.81946777,-96.92712268,40.81546777,-96.62712268,http://www.cosmiceye.beer/,15315002739,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fcosmiceyeimage.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2F_resized%2Fcosmiceyemapimage_100x100.png?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fcosmiceyepageimage.jpg?alt=media
whiteelm,White Elm,White Elm Brewing Co.,White Elm Brewing Company strives to bring modern takes on rustic ales to southeast Nebraska. ,"720 Van Dorn St, Lincoln, NE",68502,Right off Van Dorn.,41.18113586,-96.71061794,40.78513586,-96.71061794,http://www.whiteelmbrewing.com/,14022616078,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fwhiteelmimage.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2F_resized%2Fwhiteelmmapimage_100x100.png?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fwhiteelmpageimage.jpg?alt=media
bottlerocket,Bottle Rocket,Bottle Rocket Brewing Co.,Bottle Rocket has a  mission is to brew superior craft beer for patrons in Seward and throughout the Midwest.,"230 S. 5th Street, Seward, NE ",68434,Right off Main St & S 5th.,40.90634735,-97.0975841,40.90634735,-97.0975841,http://www.bottlerocketbrewing.com/,14026414314,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fbottlerocketimage.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2F_resized%2Fbottlerocketmapimage_100x100.png?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fbottlerocketpageimage.jpg?alt=media
thunderhead,Thunderhead,Thunderhead Brewing Co.,"Founded in 1999, Thunderhead Brewing is a small brewmaster owned brewery dedicated to producing high quality ales and lagers.","201 F Ave, Axtell, NE ",68924,"On F Ave in Axtell, NE.",40.47714937,-99.13743517,40.47714937,-99.13743517,https://www.thunderheadbrewing.com/,13082371558,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fthunderheadimage.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2F_resized%2Fthunderheadmapimage_100x100.png?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fthunderheadpageimage.jpg?alt=media
pintnine,Pint Nine,Pint Nine Brewing Co.,"Located in La Vista, Pint Nine is commited to tradition and innovation.","10411 Portal Road, Suite 104 Papillion, NE ",68128,"On Portal Road in La Vista, NE",41.13194676,-96.17593032,41.17194676,-96.07593032,https://pintninebrewing.com/,14023591418,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fpintnineimage.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2F_resized%2Fpintninemapimage_100x100.png?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fpintninepageimage.jpg?alt=media
firststreet,1st Street,1st Street Brewing Co.,"First Street Brewing Co. is located in the heart of Downtown Hastings, Nebraska. We believe in making great beer that exemplifies truly regional flavors. ","119 N. Saint Joseph Ave., Hastings, NE",68901,On 1st and Joseph Ave.,40.58450359,-98.38778301,40.58450359,-98.38778301,http://www.firststreetbrewing.com/,14028342400,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Ffirststreetimage.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2F_resized%2Ffirststreetmapimage_100x100.png?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Ffirststreetpageimage.jpg?alt=media
prairiepride,Prairie Pride,Prairie Pride Brewing Co.,"We believe, with great pride, that craft beer is an attitude and that flavor favors the bold. That bold attitude is what led us to imagine the Hopffalo as the perfect symbol for our mutual pride of place and love of craft beer.","115 E South Front St, Suite 1 Grand Island, NE",68801,On E South St. ,40.92665174,-98.33986698,40.92665174,-98.33986698,http://prairiepride.beer/,13088505375,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fprairieprideimage.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2F_resized%2Fprairiepridemapimage_100x100.png?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fprairiepridepageimage.jpg?alt=media
flyover,Flyover,Flyover Brewing Co.,"The first brewery in the Nebraska Panhandle, Flyover Brewing Company takes pride in brewing. Brewed by an award winning professional brewer with years of experience in the craft, the brewery produces both true to style lagers and ales along with innovative locally themed brews.","1824 Broadway, Scottsbluff, NE ",69361,On Broadway.,41.86511532,-103.6629787,41.86511532,-103.6629787,https://www.flyoverbrewingcompany.com/,13085750335,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fflyoverimage.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2F_resized%2Fflyovermapimage_100x100.png?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2Fflyoverpageimage.jpg?alt=media
719,Brewery 719,Brewery 719,"At Brewery 719 we understand and appreciate a hard days work, especially when it comes to a craft brew from the heartland. Our work is a labor of love and we reap the fruits of our labor every day.","817 E 3rd St, Alliance, NE ",69301,On E 3rd St.,42.09714301,-102.860273,42.09714301,-102.860273,http://brewery719.com/,13087612719,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2F719image.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2F_resized%2F719mapimage_100x100.png?alt=media,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fimages%2F719pageimage.jpg?alt=media